STATE,PC_NO,PC_NAME,PC_TYPE,AC_NO,AC_NAME,AC_TYPE,18-19 Male,18-19 Female,18-19 Others,Above 18 Male,Above 18 Female,Above 18 Others,Gender Ratio Roll,Electors with EPIC,Electors with Photo
BIHAR,12,PURNIA,,58,KASBA,,3465,2733,1,123163,113416,9,921,214589,236592
BIHAR,12,PURNIA,,59,BANMANKHI,SC,3149,2759,2,133531,121009,4,906,240285,254540
BIHAR,12,PURNIA,,60,RUPAULI,,3410,2738,0,139339,127925,6,918,248746,267245
BIHAR,12,PURNIA,,61,DHAMDAHA,,3727,3692,0,137254,127426,3,928,243115,264683
BIHAR,12,PURNIA,,62,PURNIA,,4100,2919,0,140183,124121,7,885,237046,264320
BIHAR,11,KATIHAR,,63,KATIHAR,,3084,2172,0,120014,103921,8,866,209096,224034
BIHAR,11,KATIHAR,,64,KADWA,,3596,3165,0,118637,105113,3,886,203250,223754
BIHAR,11,KATIHAR,,65,BALRAMPUR,,5133,4900,0,141033,125402,11,889,245268,266446
BIHAR,11,KATIHAR,,66,PRANPUR,,2977,2645,0,125853,113422,1,901,214584,239210
BIHAR,11,KATIHAR,,67,MANIHARI,ST,3672,3213,-12,121049,106022,7,876,203600,227078
BIHAR,11,KATIHAR,,68,BARARI,,2124,1521,-3,116480,103625,2,890,205406,220107
BIHAR,12,PURNIA,,69,KORHA,SC,2682,2081,1,115878,107264,3,926,196423,223153
BIHAR,13,MADHEPURA,,70,ALAMNAGAR,,2943,4288,1,151517,138663,5,915,270980,290187
BIHAR,13,MADHEPURA,,71,BIHARIGANJ,,2629,2967,0,140414,130416,7,929,252595,270838
BIHAR,8,SUPAUL,,72,SINGHESHWAR,SC,4836,5930,4,140854,129631,9,920,246209,270491
BIHAR,13,MADHEPURA,,73,MADHEPURA,,4941,5816,3,150015,136947,9,913,268028,286973
BIHAR,13,MADHEPURA,,74,SONBARSHA,SC,3002,3420,2,133779,123686,5,925,244203,257466
BIHAR,13,MADHEPURA,,75,SAHARSA,,3707,4362,0,166892,151159,6,906,300424,318057
BIHAR,25,KHAGARIA,,76,SIMRI BAKHTIARPUR,,2695,2714,4,144449,131455,26,910,260750,275367
BIHAR,13,MADHEPURA,,77,MAHISHI,,3212,2151,1,127910,120465,2,942,237506,248378
BIHAR,23,SAMASTIPUR,SC,78,KUSHESHWAR ASTHAN,SC,3099,3824,0,112385,102276,0,910,201464,214664
BIHAR,14,DARBHANGA,,79,GAURA BAURAM,,3351,2981,0,113932,101593,1,892,201403,215515
BIHAR,14,DARBHANGA,,80,BENIPUR,,3391,3716,0,134583,120092,0,892,238030,254675
BIHAR,14,DARBHANGA,,81,ALINAGAR,,3181,2828,0,126043,113370,3,899,222040,239416
BIHAR,14,DARBHANGA,,82,DARBHANGA RURAL,,3015,2089,0,134841,115792,0,859,228341,250633
BIHAR,14,DARBHANGA,,83,DARBHANGA,,2327,3047,2,138693,119055,6,858,238927,257753
BIHAR,23,SAMASTIPUR,SC,84,HAYAGHAT,,2385,2745,5,112180,98573,10,879,196923,210763
BIHAR,14,DARBHANGA,,85,BAHADURPUR,,2992,3018,1,135232,116313,3,860,233224,251547
BIHAR,6,MADHUBANI,,86,KEOTI,,3510,2231,2,134771,114494,5,850,231648,249270
BIHAR,6,MADHUBANI,,87,JALE,,3792,2704,1,145003,123939,1,855,246322,268943
BIHAR,15,MUZAFFARPUR,,88,GAIGHAT,,4683,3730,1,143548,126099,4,878,242226,269661
BIHAR,15,MUZAFFARPUR,,89,AURAI,,3778,2893,0,138008,118557,2,859,229822,256567
BIHAR,16,VAISHALI,,90,MINAPUR,,2724,1822,0,123583,108521,8,878,209225,232116
BIHAR,15,MUZAFFARPUR,,91,BOCHAHAN,SC,3139,2266,0,123434,109273,3,885,211830,232710
BIHAR,15,MUZAFFARPUR,,92,SAKRA,SC,3312,2133,0,119553,106319,2,889,208108,225874
BIHAR,15,MUZAFFARPUR,,93,KURHANI,,3560,2166,1,133913,116351,4,869,223088,250268
BIHAR,15,MUZAFFARPUR,,94,MUZAFFARPUR,,3310,2198,0,145996,122679,14,840,237129,268689
BIHAR,16,VAISHALI,,95,KANTI,,3775,1782,1,135532,115349,6,851,222903,250889
BIHAR,16,VAISHALI,,96,BARURAJ,,3159,1624,0,128214,109583,1,855,217891,237800
BIHAR,16,VAISHALI,,97,PAROO,,2966,2575,0,137307,121477,5,885,231730,258791
BIHAR,16,VAISHALI,,98,SAHEBGANJ,,3352,2952,0,136279,117644,14,863,228773,253940
BIHAR,17,GOPALGANJ,SC,99,BAIKUNTHPUR,,2252,3375,1,139060,126623,3,911,247271,265675
BIHAR,17,GOPALGANJ,SC,100,BARAULI,,2555,2318,0,126458,113177,3,895,213228,238494
BIHAR,17,GOPALGANJ,SC,101,GOPALGANJ,,3339,8405,4,142876,135827,5,951,256055,278672
BIHAR,17,GOPALGANJ,SC,102,KUCHAIKOTE,,2590,5269,2,138884,132035,11,951,237500,270335
BIHAR,17,GOPALGANJ,SC,103,BHORE,SC,2707,3213,0,151869,140393,5,924,261174,287864
BIHAR,17,GOPALGANJ,SC,104,HATHUA,,2597,4459,1,131555,125860,5,957,229550,257416
BIHAR,18,SIWAN,,105,SIWAN,,3644,2237,1,141603,119976,2,847,233010,261586
BIHAR,18,SIWAN,,106,ZIRADEI,,3142,1586,1,126276,106547,4,844,203274,232827
BIHAR,18,SIWAN,,107,DARAULI,SC,4286,1952,1,142991,122482,2,857,229114,265469
BIHAR,18,SIWAN,,108,RAGHUNATHPUR,,3004,1735,2,132995,114758,5,863,221868,247766
BIHAR,18,SIWAN,,109,DARAUNDA,,3455,3270,0,140923,126138,5,895,226773,267067
BIHAR,18,SIWAN,,110,BARHARIA,,3248,1835,1,135748,116270,6,857,220660,252024
BIHAR,19,MAHARAJGANJ,,111,GORIYAKOTHI,,3334,3599,0,146390,131814,6,900,246530,278222
BIHAR,19,MAHARAJGANJ,,112,MAHARAJGANJ,,2821,2180,0,135712,123740,2,912,229161,259461
BIHAR,19,MAHARAJGANJ,,113,EKMA,,4694,3373,0,141485,123373,2,872,229395,264861
BIHAR,19,MAHARAJGANJ,,114,MANJHI,,5479,4290,0,142547,123795,10,868,230000,266353
BIHAR,19,MAHARAJGANJ,,115,BANIAPUR,,4395,3210,2,151351,129302,4,854,252114,280659
BIHAR,19,MAHARAJGANJ,,116,TARAIYA,,5062,4107,1,136528,119913,2,878,221411,256443
BIHAR,20,SARAN,,117,MARHAURA,,3290,3108,0,121672,107295,5,882,202903,228974
BIHAR,20,SARAN,,118,CHAPRA,,5218,3100,0,153790,126284,1,821,242705,280048
BIHAR,20,SARAN,,119,GARKHA,SC,5896,3352,2,143595,120010,11,836,228944,263618
BIHAR,20,SARAN,,120,AMNOUR,,4065,3402,0,122652,105921,9,864,197748,228583
BIHAR,20,SARAN,,121,PARSA,,5200,4370,0,125228,109490,1,874,197256,234719
BIHAR,20,SARAN,,122,SONEPUR,,4871,3889,1,138084,118109,4,855,222045,256199
BIHAR,21,HAJIPUR,SC,123,HAJIPUR,,3801,2030,0,150273,126356,5,841,244442,276636
BIHAR,21,HAJIPUR,SC,124,LALGANJ,,2804,1635,0,154246,131144,4,850,256617,285395
BIHAR,16,VAISHALI,,125,VAISHALI,,3337,1827,2,148921,127491,11,856,251608,276424
BIHAR,21,HAJIPUR,SC,126,MAHUA,,3401,2298,4,131929,113041,8,857,216308,244980
BIHAR,21,HAJIPUR,SC,127,RAJA PAKAR,SC,2571,1482,3,122249,103260,9,845,202995,225262
BIHAR,21,HAJIPUR,SC,128,RAGHOPUR,,3363,1885,0,159199,132468,1,832,256732,291668
BIHAR,21,HAJIPUR,SC,129,MAHNAR,,2840,1684,2,134833,115203,16,854,219472,249150
BIHAR,22,UJIARPUR,,130,PATEPUR,SC,2594,1512,1,131668,113417,5,861,228007,245095
BIHAR,23,SAMASTIPUR,SC,131,KALYANPUR,SC,3669,2584,0,147007,127268,3,866,250328,274278
BIHAR,23,SAMASTIPUR,SC,132,WARISNAGAR,,3752,3189,0,139495,123064,2,882,238947,262559
BIHAR,23,SAMASTIPUR,SC,133,SAMASTIPUR,,2967,2019,0,125103,106169,3,849,208263,231273
BIHAR,22,UJIARPUR,,134,UJIARPUR,,2949,2071,2,131847,115271,5,874,229768,247123
BIHAR,22,UJIARPUR,,135,MORWA,,3011,2392,1,118619,103339,9,871,199151,221958
BIHAR,22,UJIARPUR,,136,SARAIRANJAN,,2340,1720,0,125377,109881,0,876,221252,235258
BIHAR,22,UJIARPUR,,137,MOHIUDDINNAGAR,,2397,1691,0,117384,100013,1,852,198095,217398
BIHAR,22,UJIARPUR,,138,BIBHUTIPUR,,2768,2321,3,118365,104411,6,882,204772,222782
BIHAR,23,SAMASTIPUR,SC,139,ROSERA,SC,4548,3770,2,145548,128905,6,886,247515,274459
BIHAR,25,KHAGARIA,,140,HASANPUR,,3144,2185,1,127994,112950,4,882,220810,240948
BIHAR,24,BEGUSARAI,,141,CHERIA BARIARPUR,,3136,2861,0,115147,104051,17,904,202975,219215
BIHAR,24,BEGUSARAI,,142,BACHHWARA,,4364,3645,2,134258,118338,4,881,228486,252571
BIHAR,24,BEGUSARAI,,143,TEGHRA,,4158,4470,0,135059,116762,16,865,229698,251833
BIHAR,24,BEGUSARAI,,144,MATIHANI,,3866,2712,0,152745,130740,0,856,262524,283472
BIHAR,24,BEGUSARAI,,145,SAHEBPUR KAMAL,,3318,2796,3,116563,101644,12,872,202195,218219
BIHAR,24,BEGUSARAI,,146,BEGUSARAI,,3734,2796,0,153504,131511,7,857,261880,285021
BIHAR,24,BEGUSARAI,,147,BAKHRI,SC,2380,2129,0,120715,109949,3,911,204195,230649
